Brand,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Kia,Carnival,Wagon,2020 Kia Carnival S,USED,Automatic,"4 cyl, 2.2 L",Front,Diesel,6.5 L / 100 km,59541,"Albion Park Rail, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,45990
Jeep,Grand,SUV,2017 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,244956,"Tuggerah, NSW",6 cyl,SUV, 4 Doors, 5 Seats,23990
Kia,Sorento,SUV,2019 Kia Sorento Sport (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.2 L / 100 km,113825,"Enfield, SA",4 cyl,SUV, 4 Doors, 7 Seats,34990
Nissan,Qashqai,SUV,2015 Nissan Qashqai ST (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,159000,"Wangara, WA",4 cyl,SUV, 4 Doors, 5 Seats,15990
MG,MG3,Hatchback,2021 MG MG3 Auto Core,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,26480,"Sandgate, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15999
Toyota,Hilux,Ute / Tray,2019 Toyota Hilux Rogue (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,42136,"Albion Park Rail, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,61990
Kia,Stinger,Sedan,2020 Kia Stinger GT (black Leather),USED,Automatic,"6 cyl, 3.3 L",Rear,Unleaded,10.2 L / 100 km,16794,"Homebush, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,59990
Volkswagen,Tiguan,SUV,2019 Volkswagen Tiguan 162 TSI Highline,USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.1 L / 100 km,43698,"Mascot, NSW",4 cyl,SUV, 4 Doors, 5 Seats,44990
Hyundai,Santa,SUV,2014 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,76847,"Croydon, NSW",4 cyl,SUV, 4 Doors, 7 Seats,29999
Hyundai,Imax,Wagon,2016 Hyundai Imax,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,9 L / 100 km,100260,"Strathalbyn, SA",4 cyl,Wagon, 4 Doors, 8 Seats,27990
MG,HS,SUV,2020 MG HS Essence,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,52476,"West Gosford, NSW",4 cyl,SUV, 4 Doors, 5 Seats,26888
MG,HS,SUV,2022 MG HS Core,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,25250,"Wollongong, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24990
Ford,Falcon,Sedan,2012 Ford Falcon XR6T,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,11.7 L / 100 km,141993,"Homebush, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,33990
Toyota,Rav,Gregg Watts Used Cars (CCM),2013 Toyota Rav 4 GXL AWD,USED,Automatic,-,Other,Diesel,-,111300,"Minchinbury, NSW",-,Wagon,,,22995
Mitsubishi,Triton,Ute / Tray,2008 Mitsubishi Triton GLX-R (4X4),USED,Automatic,"4 cyl, 3.2 L",4WD,Diesel,9.9 L / 100 km,267459,"Minchinbury, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,16995
Lexus,IS250,Sedan,2005 Lexus IS250 Prestige,USED,Automatic,"6 cyl, 2.5 L",Rear,Premium,9.7 L / 100 km,232162,"Nowra, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,9999
Holden,Equinox,SUV,2018 Holden Equinox LTZ-V (awd),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.4 L / 100 km,137264,"Enfield, SA",4 cyl,SUV, 4 Doors, 5 Seats,24990
Mitsubishi,ASX,SUV,2019 Mitsubishi ASX ES (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.6 L / 100 km,74932,"Yallah, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24950
