FullName,Winery,WineName,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,WinePrice
Gran Moraine Chardonnay 2016,Gran Moraine,Chardonnay,Oregon,Chardonnay,4,84,4,450,56
Hubert Lamy Vieilles Vignes Saint-Aubin 1er Cru 'Clos de la Chatenière' 2011,Hubert Lamy,Vieilles Vignes Saint-Aubin 1er Cru 'Clos de la Chatenière',Burgundy,Côte de Beaune White,4,81,4.2,625,52.99
Hugel Grossi Laüe Gewürztraminer 2011,Hugel,Grossi Laüe Gewürztraminer,Alsace,Gewürztraminer,4,69,4.1,228,51
Trimbach Pinot Gris Alsace Selection de Grains Nobles 2005,Trimbach,Pinot Gris Alsace Selection de Grains Nobles,Alsace,Pinot Gris,4.7,32,4.4,145,88.22
Francois Carillon Puligny-Montrachet 1er Cru 'Les Folatières' 2015,Francois Carillon,Puligny-Montrachet 1er Cru 'Les Folatières',Burgundy,Côte de Beaune White,4.6,28,4.3,222,81.18
Francois et Antoine Jobard Meursault-Genevrières 1er Cru 2013,Francois et Antoine Jobard,Meursault-Genevrières 1er Cru,Burgundy,Côte de Beaune White,4.6,37,4.2,576,92.68
Michel Bouzereau Meursault-Charmes 1er Cru 'Les Charmes Dessus' 2016,Michel Bouzereau,Meursault-Charmes 1er Cru 'Les Charmes Dessus',Burgundy,Côte de Beaune White,4.6,46,4.2,358,82.65
Domaine Long Depaquit Chablis Grand Cru 'Moutonne' (Monopole) 2017,Domaine Long Depaquit,Chablis Grand Cru 'Moutonne' (Monopole),Burgundy,Chablis,4.6,25,4.3,1476,74.78
DeMorgenzon The Divas Chenin Blanc 2017,DeMorgenzon,The Divas Chenin Blanc,South African,Chenin Blanc,4.6,26,4.2,205,98.1
Delas Clos Boucher Condrieu 2013,Delas,Clos Boucher Condrieu,Northern Rhône,Condrieu,4.6,28,4,464,51.67
Marcel Deiss Alsace Grand Cru Schoenenbourg 2014,Marcel Deiss,Alsace Grand Cru Schoenenbourg,,,4.6,29,4.3,997,54.53
Domaine de Montille Puligny-Montrachet 1er Cru Le Cailleret 2009,Domaine de Montille,Puligny-Montrachet 1er Cru Le Cailleret,Burgundy,Côte de Beaune White,4.6,61,4.3,565,90
Joseph Drouhin Meursault 1er Cru 'Perrières' 2013,Joseph Drouhin,Meursault 1er Cru 'Perrières',Burgundy,Côte de Beaune White,4.6,58,4.4,525,74.69
Jean-Claude Ramonet Chassagne-Montrachet Premier Cru 'Les Ruchottes' Blanc 2015,Jean-Claude Ramonet,Chassagne-Montrachet Premier Cru 'Les Ruchottes' Blanc,Burgundy,Côte de Beaune White,4.6,53,4.3,911,99.98
Domaine de Montille Puligny-Montrachet 1er Cru Le Cailleret 2006,Domaine de Montille,Puligny-Montrachet 1er Cru Le Cailleret,Burgundy,Côte de Beaune White,4.6,48,4.3,565,87.91
J.M. Boillot Puligny-Montrachet Premier Cru La Truffière 2015,J.M. Boillot,Puligny-Montrachet Premier Cru La Truffière,Burgundy,Côte de Beaune White,4.6,47,4.4,582,85.48
Philippe Colin Chassagne-Montrachet Premier Cru 'Les Chaumees' 2016,Philippe Colin,Chassagne-Montrachet Premier Cru 'Les Chaumees',Burgundy,Côte de Beaune White,4.6,28,4.3,540,53.08
Quinta Nova de Nossa Senhora do Carmo Mirabilis Grande Reserva Branco 2017,Quinta Nova de Nossa Senhora do Carmo,Mirabilis Grande Reserva Branco,Northern Portugal,White,4.5,454,4.5,1904,50.33
Marisa Cuomo Fiorduva Costa d'Amalfi 2017,Marisa Cuomo,Fiorduva Costa d'Amalfi,Southern Italy,White,4.5,260,4.4,4436,52.29
